control_number,donated,amount_donated,months_since_origin,donor_age,in_house,urbanicity,ses,cluster_code,home_owner,donor_gender,income_group,published_phone,overlay_source,mor_hit_rate,wealth_rating,median_home_value,median_household_income,pct_owner_occupied,per_capita_income,pct_attribute1,pct_attribute2,pct_attribute3,pct_attribute4,pep_star,recent_star_status,recency_status_96nk,frequency_status_97nk,recent_response_prop,recent_avg_gift_amt,recent_card_response_prop,recent_avg_card_gift_amt,recent_response_count,recent_card_response_count,months_since_last_prom_resp,lifetime_card_prom,lifetime_prom,lifetime_gift_amount,lifetime_gift_count,lifetime_avg_gift_amt,lifetime_gift_range,lifetime_max_gift_amt,lifetime_min_gift_amt,last_gift_amt,card_prom_12,number_prom_12,months_since_last_gift,months_since_first_gift,file_avg_gift,file_card_gift
39712,0,0.0,17,59,0,3,1,34,1,0,5,0,1,0,8,1697,471,78,26489,0,35,27,49,0,0,2,1,0.16699999999999998,15.0,0.0,0.0,1,0,20,4,13,15.0,1,15.0,0.0,15.0,15.0,15.0,3,8,20,20,15.0,0
39717,0,0.0,41,39,0,3,1,35,0,0,6,0,2,0,8,1513,501,96,17339,1,27,51,18,0,0,0,2,0.105,20.0,0.111,20.0,2,1,21,14,34,55.0,4,13.75,15.0,20.0,5.0,10.0,6,13,18,41,13.75,2
39721,0,0.0,65,72,0,3,1,34,0,0,5,0,2,0,8,1814,814,91,30259,0,36,27,49,0,0,0,2,0.17600000000000002,15.67,0.14300000000000002,17.0,3,1,17,15,43,62.0,5,12.4,13.0,18.0,5.0,17.0,6,15,17,63,12.4,2
39753,0,0.0,77,51,0,2,2,16,0,0,4,0,0,0,7,1023,371,89,15791,0,32,30,31,1,1,5,2,0.05,14.0,0.0,0.0,1,0,26,22,61,144.0,12,12.0,15.0,20.0,5.0,20.0,6,13,18,76,12.0,4
39761,0,0.0,53,81,0,2,1,13,0,1,5,1,0,17,9,2547,607,88,20852,0,41,14,65,0,0,0,1,0.2,13.5,0.4,13.5,2,2,23,12,27,63.0,6,10.5,9.0,15.0,6.0,15.0,5,12,23,52,10.5,4
39765,0,0.0,17,81,0,2,2,16,0,1,1,1,0,6,9,895,306,83,12137,0,21,26,34,0,0,2,1,0.2,50.0,0.5,50.0,1,1,18,6,14,50.0,1,50.0,0.0,50.0,50.0,50.0,5,11,18,18,50.0,1
39770,1,20.0,41,57,0,2,1,12,1,0,5,1,1,1,9,1342,552,90,19488,0,31,39,29,0,0,0,3,0.2,12.5,0.222,15.0,4,2,20,14,34,55.0,5,11.0,15.0,20.0,5.0,10.0,6,12,20,40,11.0,2
39795,0,0.0,29,66,0,3,1,34,1,1,3,1,1,0,8,657,431,63,17660,0,23,31,45,0,0,0,1,0.11800000000000001,12.5,0.28600000000000003,12.5,2,2,22,10,27,25.0,2,12.5,5.0,15.0,10.0,15.0,4,11,22,33,12.5,2
39797,0,0.0,41,73,0,3,3,41,0,0,2,1,2,0,8,508,212,47,7745,0,7,0,99,0,0,0,1,0.105,17.0,0.125,18.0,2,1,18,13,30,44.0,3,14.67,8.0,18.0,10.0,18.0,5,11,18,41,14.67,2
39805,0,0.0,29,39,0,0,1,23,0,0,7,1,0,7,9,4012,488,74,53607,0,39,8,78,0,0,0,4,0.14300000000000002,5.5,0.28600000000000003,5.5,2,2,23,11,30,47.0,6,7.83,10.0,15.0,5.0,15.0,6,14,18,29,7.83,2
39808,0,0.0,29,64,0,0,2,26,0,0,2,0,1,7,9,1304,222,70,15828,0,23,32,58,1,0,0,3,0.214,10.0,0.429,10.0,3,3,18,11,25,40.0,4,10.0,0.0,10.0,10.0,10.0,6,13,18,29,10.0,4
39815,0,0.0,77,57,0,0,1,23,0,0,7,1,0,6,9,2320,471,75,52991,0,37,9,64,0,0,0,2,0.136,48.0,0.182,50.0,3,2,16,24,59,262.0,7,37.43,25.0,50.0,25.0,50.0,6,14,16,75,37.43,4
39816,0,0.0,89,72,0,2,2,20,1,0,5,0,1,0,9,987,324,68,15932,0,29,13,43,0,0,0,1,0.083,30.0,0.0,0.0,1,0,26,8,27,59.0,4,14.75,25.0,30.0,5.0,30.0,2,5,26,83,14.75,2
39819,0,0.0,113,69,0,2,2,20,0,0,5,1,0,4,7,987,324,68,15932,0,29,13,43,1,3,0,1,0.136,19.67,0.0,0.0,3,0,18,28,70,146.0,9,16.22,11.0,21.0,10.0,21.0,6,15,18,112,16.22,6
39826,0,0.0,113,81,0,2,1,13,0,1,7,0,2,0,9,1405,471,60,23951,0,42,5,77,1,0,3,2,0.16699999999999998,25.0,0.25,25.0,3,2,17,34,78,227.0,12,18.92,21.0,26.0,5.0,25.0,6,13,17,113,18.92,9
39862,0,0.0,17,63,0,0,2,29,0,0,7,1,0,1,9,1292,394,87,24848,0,49,5,78,0,0,2,1,0.2,50.0,0.0,0.0,1,0,16,6,14,50.0,1,50.0,0.0,50.0,50.0,50.0,5,12,16,16,50.0,0
39869,1,21.0,17,57,0,2,2,20,1,0,5,1,1,0,9,2171,545,81,22696,0,24,38,24,0,0,4,2,0.28600000000000003,15.0,0.33299999999999996,10.0,2,1,16,7,20,30.0,2,15.0,10.0,20.0,10.0,20.0,5,14,16,20,15.0,1
39881,0,0.0,29,79,0,2,1,13,1,0,1,1,0,12,9,1770,599,85,43256,0,42,11,63,0,0,0,2,0.14300000000000002,17.0,0.16699999999999998,17.0,2,1,24,10,25,49.0,3,16.33,2.0,17.0,15.0,17.0,6,13,24,30,16.33,1
39885,0,0.0,41,27,0,2,2,20,0,1,7,1,0,49,6,956,346,78,16908,0,32,16,58,1,0,0,3,0.308,11.0,0.33299999999999996,11.0,4,2,18,10,27,56.0,6,9.33,7.0,12.0,5.0,12.0,4,9,18,44,9.33,4
39913,0,0.0,41,64,0,0,2,29,0,1,1,1,0,6,9,1386,228,80,17327,0,50,1,91,1,0,0,4,0.368,8.14,0.556,8.4,7,5,17,14,39,67.0,9,7.44,5.0,10.0,5.0,10.0,6,16,17,41,7.44,6
39918,0,0.0,101,64,0,0,2,29,0,0,1,1,0,0,9,1386,228,80,17327,0,50,1,91,0,0,0,1,0.053,25.0,0.0,0.0,1,0,18,23,55,144.0,7,20.57,47.0,50.0,3.0,25.0,6,13,18,92,20.57,4
39920,0,0.0,77,45,0,2,2,18,0,1,7,0,0,0,8,1150,449,93,15907,0,20,41,27,1,0,0,1,0.067,15.0,0.16699999999999998,15.0,1,1,20,17,44,49.0,5,9.8,12.0,15.0,3.0,15.0,4,10,20,76,9.8,5
39924,0,0.0,113,85,0,0,2,29,0,1,2,1,0,0,5,1386,228,80,17327,0,50,1,91,1,0,0,1,0.053,10.0,0.0,0.0,1,0,26,27,68,147.0,12,12.25,20.0,25.0,5.0,10.0,4,9,26,113,12.25,7
39931,0,0.0,29,57,0,0,1,23,0,0,5,0,2,0,9,4063,647,92,52572,0,46,7,74,0,0,4,2,0.2,25.0,0.4,25.0,2,2,17,9,21,50.0,2,25.0,0.0,25.0,25.0,25.0,6,13,17,24,25.0,2
39935,1,4.0,29,37,0,0,3,33,1,1,4,1,0,0,9,1464,305,84,22648,0,25,23,46,1,0,0,4,0.43799999999999994,4.14,0.5,4.0,7,4,21,12,27,32.0,8,4.0,2.0,5.0,3.0,4.0,6,11,21,32,4.0,4
39940,0,0.0,53,38,0,2,3,21,0,1,7,1,0,5,9,602,239,71,8412,0,28,47,12,0,0,0,2,0.16699999999999998,13.0,0.125,14.0,3,1,16,16,39,51.0,5,10.2,10.0,15.0,5.0,14.0,5,12,16,52,10.2,2
39963,0,0.0,17,77,0,0,2,28,1,1,1,0,2,0,9,1289,394,75,27608,0,45,9,64,0,0,2,1,0.2,20.0,0.5,20.0,1,1,16,6,14,20.0,1,20.0,0.0,20.0,20.0,20.0,5,12,16,16,20.0,1
39967,1,75.0,29,67,0,0,2,28,1,1,5,1,2,0,9,1289,394,75,27608,0,45,9,64,0,0,4,1,0.091,50.0,0.2,50.0,1,1,24,9,20,50.0,1,50.0,0.0,50.0,50.0,50.0,6,11,24,24,50.0,1
39972,0,0.0,41,35,0,2,2,17,1,0,2,1,2,0,9,856,313,33,17218,0,24,20,27,0,0,0,1,0.05,17.0,0.0,0.0,1,0,26,13,31,32.0,2,16.0,2.0,17.0,15.0,17.0,4,9,26,41,16.0,1
40005,0,0.0,53,36,0,2,2,16,0,0,6,0,0,33,8,1192,407,92,16327,1,27,16,55,0,0,0,1,0.05,21.0,0.0,0.0,1,0,25,18,41,78.0,5,15.6,11.0,21.0,10.0,21.0,6,11,25,52,15.6,2
40006,0,0.0,53,40,0,0,1,23,1,1,2,0,1,0,8,1237,393,81,22952,0,53,5,81,1,1,5,4,0.5,5.0,0.545,5.0,11,6,16,19,44,85.0,16,5.31,5.0,10.0,5.0,5.0,6,14,16,52,5.31,7
40012,0,0.0,113,85,0,0,1,23,0,1,4,1,0,9,8,1237,393,81,22952,0,53,5,81,1,12,0,1,0.053,20.0,0.0,0.0,1,0,19,25,65,166.0,11,15.09,15.0,20.0,5.0,20.0,6,13,19,104,15.09,6
40013,0,0.0,113,85,0,0,1,23,0,1,1,1,0,1,9,1237,393,81,22952,0,53,5,81,0,0,0,2,0.14300000000000002,12.5,0.0,0.0,2,0,18,22,54,73.0,10,7.3,10.0,15.0,5.0,10.0,5,12,18,111,7.3,4
40039,0,0.0,17,35,0,4,3,9,1,0,4,1,0,12,6,869,255,66,15130,0,32,12,57,0,0,2,1,0.14300000000000002,15.0,0.33299999999999996,15.0,1,1,20,5,13,15.0,1,15.0,0.0,15.0,15.0,15.0,3,8,20,20,15.0,1
40052,0,0.0,77,51,0,4,3,9,0,0,6,1,0,1,3,869,255,66,15130,0,32,12,57,1,0,0,1,0.091,21.0,0.091,15.0,2,1,18,23,57,167.0,13,12.85,22.0,27.0,5.0,27.0,6,14,18,75,12.85,6
40055,1,25.0,89,81,0,0,2,26,1,0,2,0,1,0,8,1187,400,81,21608,0,46,8,59,1,0,0,2,0.095,20.0,0.0,0.0,2,0,15,23,62,161.0,9,17.89,11.0,21.0,10.0,20.0,6,13,15,81,17.89,3
40058,1,25.0,137,87,0,0,2,26,0,0,2,1,0,23,8,1187,400,81,21608,0,46,8,59,1,7,0,1,0.15,18.0,0.273,18.0,3,3,25,30,62,140.0,12,11.67,15.0,20.0,5.0,20.0,6,11,25,130,11.67,9
40084,0,0.0,113,82,0,0,2,29,0,1,3,1,0,9,4,920,221,84,16753,0,38,12,73,0,0,0,2,0.16699999999999998,12.67,0.222,12.0,3,2,18,26,62,88.0,10,8.8,9.0,14.0,5.0,14.0,6,13,18,105,8.8,7
40096,0,0.0,17,75,0,0,3,30,0,0,1,1,0,5,9,663,197,32,8511,0,7,39,35,0,0,4,2,0.28600000000000003,13.0,0.33299999999999996,10.0,2,1,16,7,16,26.0,2,13.0,6.0,16.0,10.0,16.0,5,11,16,21,13.0,1
40105,1,23.0,77,51,0,2,3,21,0,0,4,0,2,0,4,700,228,45,13851,0,23,21,26,0,0,0,2,0.105,19.0,0.0,0.0,2,0,19,21,54,135.0,9,15.0,20.0,25.0,5.0,15.0,6,13,17,68,15.0,1
40113,0,0.0,17,81,0,0,1,23,0,1,6,1,0,0,9,1373,419,82,23891,0,47,23,59,0,0,2,2,0.2,10.0,0.0,0.0,1,0,16,6,15,35.0,2,17.5,15.0,25.0,10.0,25.0,5,13,15,16,17.5,0
40122,0,0.0,41,74,0,0,2,29,0,1,4,0,0,8,9,1223,443,95,24697,0,58,2,82,0,0,0,3,0.263,7.2,0.33299999999999996,7.0,5,3,16,14,31,39.0,6,6.5,8.0,11.0,3.0,5.0,6,13,16,39,6.5,4
40130,0,0.0,41,53,0,0,2,28,0,0,5,1,2,0,9,720,364,90,18273,0,41,31,47,0,0,0,2,0.15,12.33,0.222,13.0,3,2,24,15,36,66.0,6,11.0,10.0,15.0,5.0,15.0,6,13,17,45,11.0,4
40138,0,0.0,89,37,0,0,3,33,0,1,4,1,0,6,4,594,254,88,17666,0,48,0,86,0,0,0,1,0.053,20.0,0.0,0.0,1,0,18,23,59,97.0,7,13.86,15.0,20.0,5.0,20.0,6,13,18,85,13.86,3
40154,0,0.0,29,64,0,0,3,33,1,0,2,0,1,0,9,364,162,90,13232,0,44,0,96,0,0,4,2,0.214,10.0,0.28600000000000003,12.5,3,2,16,10,23,30.0,3,10.0,23.0,24.0,1.0,5.0,4,12,16,30,10.0,2
40180,0,0.0,137,59,0,3,2,36,1,1,5,0,1,0,6,849,253,80,13105,2,39,23,47,1,1,5,3,0.22699999999999998,17.45,0.182,12.5,5,2,20,32,79,237.7,18,13.21,15.0,25.0,10.0,17.0,6,14,20,129,13.21,9
40193,0,0.0,77,38,0,0,2,27,0,1,4,1,0,4,9,996,352,79,16997,0,28,30,33,0,0,0,1,0.14300000000000002,15.0,0.0,0.0,1,0,22,9,22,31.0,3,10.33,10.0,15.0,5.0,15.0,4,10,22,67,10.33,2
40212,0,0.0,17,51,0,0,3,30,0,1,4,0,2,0,9,627,152,39,10701,0,32,24,34,0,0,2,1,0.16699999999999998,20.0,0.0,0.0,1,0,20,5,15,20.0,1,20.0,0.0,20.0,20.0,20.0,4,10,20,20,20.0,0
40223,0,0.0,41,77,0,0,2,26,0,0,1,1,0,6,9,844,271,44,22532,0,36,13,63,1,0,0,2,0.222,9.25,0.33299999999999996,8.67,4,3,19,14,33,42.0,5,8.4,11.0,16.0,5.0,11.0,6,12,19,41,8.4,4
40224,0,0.0,41,45,0,0,2,28,0,1,7,0,2,0,9,1117,371,88,22052,0,28,21,53,0,0,0,1,0.111,17.5,0.125,10.0,2,1,18,13,32,40.0,3,13.33,20.0,25.0,5.0,25.0,6,13,18,40,13.33,1
40232,0,0.0,77,79,0,0,3,33,0,1,4,1,0,1,4,693,215,63,14787,0,38,18,53,1,1,5,2,0.091,25.0,0.0,0.0,2,0,19,23,56,160.0,12,13.33,20.0,25.0,5.0,25.0,6,13,18,68,13.33,4
40234,0,0.0,77,51,0,0,3,33,1,0,2,0,1,0,9,699,258,84,11484,0,38,18,53,1,0,0,3,0.21100000000000002,8.25,0.3,7.67,4,3,21,21,53,94.0,14,6.71,7.0,10.0,3.0,8.0,5,10,21,76,6.71,8
40276,0,0.0,89,54,0,0,2,26,0,0,4,1,0,20,9,747,266,68,15772,0,41,36,47,1,0,0,4,0.409,4.78,0.455,4.4,9,5,17,26,62,102.0,22,4.64,3.0,6.0,3.0,5.0,6,15,15,88,4.64,10
40283,1,25.0,125,42,0,0,2,27,0,0,5,1,0,2,7,801,301,80,13339,1,37,13,44,1,1,5,2,0.136,35.0,0.091,30.0,3,1,18,33,78,228.0,15,15.2,48.0,50.0,2.0,25.0,6,13,18,124,15.2,9
40285,0,0.0,137,71,0,0,2,25,0,0,2,1,0,18,5,663,239,48,14400,0,22,9,49,1,0,0,1,0.053,15.0,0.125,15.0,1,1,24,30,72,129.0,11,11.73,5.0,15.0,10.0,15.0,4,9,24,126,11.73,8
40313,0,0.0,77,71,0,0,2,27,1,0,2,0,1,0,5,736,273,76,13698,0,25,27,36,0,0,0,1,0.091,30.0,0.0,0.0,2,0,17,23,59,111.0,7,15.86,30.0,35.0,5.0,35.0,6,15,17,75,15.86,2
40317,0,0.0,125,17,0,0,1,23,1,0,2,0,1,0,6,2322,732,98,59477,0,46,15,68,1,12,0,1,0.053,11.0,0.0,0.0,1,0,26,28,67,102.0,15,6.8,8.0,11.0,3.0,11.0,4,11,26,122,6.8,8
40329,0,0.0,17,66,0,2,2,18,0,0,5,1,1,6,9,908,415,92,15683,0,29,33,28,0,0,2,1,0.16699999999999998,15.0,0.0,0.0,1,0,20,4,14,15.0,1,15.0,0.0,15.0,15.0,15.0,3,8,20,20,15.0,0
40335,0,0.0,41,64,0,0,3,30,1,0,2,0,1,0,9,533,210,52,9822,0,23,45,35,0,0,0,4,0.28600000000000003,6.25,0.5,6.25,4,3,19,10,27,35.0,5,7.0,3.75,10.0,6.25,6.25,6,14,19,32,7.0,3
40338,1,21.0,41,28,0,2,2,18,1,0,5,0,1,0,9,902,410,93,15332,0,28,35,26,1,0,0,1,0.136,15.33,0.182,15.5,3,2,26,15,35,62.0,5,12.4,15.0,20.0,5.0,15.0,5,10,26,41,12.4,3
40341,1,15.0,65,73,0,2,2,18,0,0,5,1,0,1,8,902,410,93,15332,0,28,35,26,0,0,0,2,0.214,14.67,0.16699999999999998,16.0,3,1,17,16,46,80.0,8,10.0,11.0,16.0,5.0,16.0,6,13,17,65,10.0,3
40344,0,0.0,77,51,0,2,2,18,0,0,5,0,0,13,9,945,438,90,17169,0,30,27,35,0,0,0,1,0.059000000000000004,25.0,0.0,0.0,1,0,26,18,44,70.0,3,23.33,5.0,25.0,20.0,25.0,4,9,26,74,23.33,1
40350,0,0.0,101,84,0,0,3,30,1,1,2,0,1,0,5,715,272,69,13541,1,44,17,55,1,1,5,3,0.25,5.0,0.2,5.0,5,2,15,25,63,74.0,17,4.35,3.0,5.0,2.0,5.0,5,12,15,92,4.35,8
40351,1,30.0,101,57,0,2,2,18,1,2,5,1,1,0,9,1074,505,83,16470,2,38,44,20,0,0,0,1,0.077,30.0,0.0,0.0,1,0,17,21,56,140.0,5,28.0,5.0,30.0,25.0,30.0,6,15,17,93,28.0,3
40379,1,6.0,53,36,0,3,1,35,0,1,6,1,0,1,9,2357,523,91,25983,0,21,59,27,1,1,5,3,0.21100000000000002,6.25,0.375,6.67,4,3,16,17,44,43.0,8,5.38,7.0,10.0,3.0,10.0,6,14,16,53,5.38,7
40381,0,0.0,65,65,0,0,2,28,0,0,2,1,0,20,7,926,318,93,18005,0,53,18,64,1,1,5,4,0.278,8.4,0.25,7.5,5,2,16,18,48,74.0,9,8.22,5.0,10.0,5.0,7.0,6,14,16,65,8.22,4
40383,0,0.0,77,84,0,0,2,29,0,0,1,1,0,0,9,724,286,88,18846,0,53,5,87,0,0,0,3,0.158,8.0,0.0,0.0,3,0,15,17,45,51.0,8,6.38,5.0,10.0,5.0,7.0,6,12,15,74,6.38,2
40388,0,0.0,113,43,0,3,2,40,0,1,5,1,0,12,8,1071,410,93,18021,1,37,27,47,0,0,0,2,0.14300000000000002,15.0,0.16699999999999998,15.0,2,1,22,22,57,88.0,9,9.78,12.0,15.0,3.0,15.0,6,12,22,105,9.78,5
40396,0,0.0,137,72,0,3,2,40,0,1,4,1,0,31,8,1071,410,93,18021,1,37,27,47,1,0,0,2,0.19,6.5,0.1,6.0,4,1,21,31,71,104.0,20,5.2,7.0,10.0,3.0,6.0,5,10,21,128,5.2,10
40407,1,10.0,113,74,0,0,3,31,0,1,1,0,2,0,9,1785,692,95,32092,0,0,0,0,0,0,0,2,0.133,17.0,0.14300000000000002,17.0,2,1,19,25,65,127.0,11,11.55,14.0,17.0,3.0,17.0,6,15,19,113,11.55,5
40421,1,5.0,77,58,0,0,1,24,0,1,7,1,0,6,8,1270,363,93,17548,0,41,27,52,1,1,5,4,0.4,7.38,0.545,5.0,8,6,18,22,59,163.0,26,6.27,21.0,24.0,3.0,24.0,6,14,18,68,6.27,12
40425,0,0.0,89,64,0,0,1,23,1,1,2,0,1,0,8,2618,497,91,46033,0,53,10,71,1,0,0,4,0.25,6.67,0.429,6.67,3,3,17,20,48,98.0,10,9.8,13.0,18.0,5.0,10.0,6,14,17,78,9.8,7
40452,0,0.0,41,44,0,0,1,22,0,0,6,1,0,1,9,1310,414,66,24333,0,41,21,53,0,0,0,2,0.111,15.5,0.0,0.0,2,0,18,12,29,36.0,3,12.0,15.0,20.0,5.0,20.0,6,12,18,42,12.0,0
40465,0,0.0,89,47,0,3,1,35,0,1,7,1,0,6,9,1396,518,96,18582,0,32,43,16,1,3,0,1,0.1,15.5,0.111,15.0,2,1,20,22,59,101.0,8,12.63,15.0,20.0,5.0,15.0,5,12,20,88,12.63,7
40470,0,0.0,137,43,0,3,1,35,0,0,6,0,0,9,9,1396,518,96,18582,0,32,43,16,1,0,0,1,0.16699999999999998,11.0,0.222,11.0,3,2,26,29,66,105.0,15,7.0,7.0,12.0,5.0,11.0,4,9,26,120,7.0,6
40501,0,0.0,17,67,0,2,1,13,0,1,6,1,0,1,9,3250,531,89,48809,0,56,3,83,0,0,2,1,0.2,20.0,0.5,20.0,1,1,17,5,13,20.0,1,20.0,0.0,20.0,20.0,20.0,4,10,17,17,20.0,1
40516,1,21.0,77,82,0,0,1,23,1,0,7,1,0,0,9,1938,483,75,47363,0,44,13,62,0,0,0,1,0.1,15.0,0.0,0.0,2,0,15,20,53,74.0,6,12.33,12.0,17.0,5.0,15.0,5,12,15,70,12.33,2
40520,1,10.0,113,86,0,2,1,13,0,0,6,0,0,0,9,965,356,58,19633,0,43,7,77,1,1,5,2,0.1,11.0,0.111,10.0,2,1,24,25,69,124.0,13,9.54,10.0,12.0,2.0,10.0,6,13,18,105,9.54,7
40543,0,0.0,113,81,0,0,2,29,0,1,1,1,0,16,3,1291,349,81,14894,0,53,1,94,1,1,5,3,0.222,3.5,0.125,5.0,4,1,17,27,67,88.0,24,3.67,3.0,6.0,3.0,5.0,5,12,17,105,3.67,11
40565,0,0.0,41,49,0,2,1,11,0,1,4,1,0,2,9,1793,383,45,27350,0,31,15,57,0,0,0,2,0.21100000000000002,9.25,0.1,6.0,4,1,20,15,35,45.0,6,7.5,12.0,15.0,3.0,15.0,6,12,20,40,7.5,2
40566,1,17.0,41,56,0,2,2,17,1,0,4,1,0,5,9,1530,442,77,23340,0,7,0,21,1,1,5,3,0.3,12.17,0.111,17.0,6,1,18,13,35,76.0,7,10.86,17.0,20.0,3.0,15.0,6,14,18,38,10.86,1
40576,0,0.0,101,63,0,2,1,14,0,0,7,0,2,0,9,2260,649,81,28065,0,32,23,30,0,0,0,1,0.059000000000000004,25.0,0.125,25.0,1,1,19,22,59,116.0,7,16.57,15.0,25.0,10.0,25.0,6,13,19,96,16.57,3
40579,0,0.0,113,87,0,0,1,23,0,0,5,0,0,0,9,1604,462,97,26786,0,41,6,54,1,1,5,3,0.21100000000000002,11.0,0.222,10.0,4,2,18,27,71,125.0,21,5.95,13.0,15.0,2.0,15.0,6,15,18,105,5.95,11
40585,0,0.0,137,80,0,2,2,17,0,0,1,1,0,5,8,1149,410,94,15274,0,31,24,40,1,0,0,1,0.125,12.0,0.28600000000000003,12.0,2,2,21,29,73,124.0,17,7.29,8.0,13.0,5.0,13.0,5,12,21,130,7.29,13
40596,0,0.0,65,71,0,2,1,13,0,0,7,1,0,0,9,1701,693,96,35569,0,38,27,38,1,0,0,2,0.19,17.5,0.364,17.5,4,4,15,21,57,138.0,10,13.8,15.0,20.0,5.0,20.0,6,15,15,65,13.8,7
40605,1,5.0,125,65,0,0,1,23,0,0,4,1,2,0,9,549,212,88,9149,0,36,11,60,1,0,0,4,0.222,5.25,0.28600000000000003,5.5,4,2,15,25,57,64.0,13,4.92,3.0,6.0,3.0,5.0,5,11,15,123,4.92,7
40615,0,0.0,29,57,0,2,1,13,1,1,5,0,1,0,9,4495,685,73,66280,0,33,16,56,0,0,0,2,0.16699999999999998,18.33,0.25,17.5,3,2,17,12,29,55.0,3,18.33,15.0,25.0,10.0,25.0,6,13,17,33,18.33,2
40616,0,0.0,29,64,0,0,2,28,1,0,2,0,1,0,9,670,317,72,10653,0,22,8,70,0,0,0,2,0.071,25.0,0.0,0.0,1,0,26,10,26,45.0,3,15.0,15.0,25.0,10.0,10.0,6,14,18,31,15.0,0
40625,0,0.0,113,54,0,3,2,39,1,1,5,0,1,0,7,698,354,81,11799,2,27,40,14,1,0,0,1,0.05,25.0,0.1,25.0,1,1,21,28,66,239.0,12,19.92,24.0,29.0,5.0,25.0,6,13,21,103,19.92,6
40637,1,20.0,125,65,0,0,3,31,0,0,4,0,2,0,9,842,371,54,15842,0,0,0,0,1,1,5,3,0.273,19.0,0.364,19.75,6,4,22,30,65,250.0,20,12.5,21.0,24.0,3.0,24.0,6,13,22,124,12.5,11
40655,1,20.0,77,61,0,0,2,26,0,1,2,1,0,14,6,810,295,55,19398,0,50,30,29,1,14,0,1,0.053,20.0,0.0,0.0,1,0,18,20,51,99.0,9,11.0,15.0,20.0,5.0,20.0,6,13,18,69,11.0,5
40659,0,0.0,89,78,0,0,2,27,0,1,4,1,0,14,4,672,276,48,12182,0,33,44,31,1,0,0,2,0.053,15.0,0.0,0.0,1,0,19,21,53,79.0,7,11.29,9.0,15.0,6.0,6.0,6,13,16,79,11.29,4
40664,0,0.0,137,79,0,0,1,24,0,0,6,1,0,26,8,838,466,89,17066,2,44,44,24,1,4,0,1,0.095,19.0,0.0,0.0,2,0,25,32,70,129.25,11,11.75,17.75,21.0,3.25,21.0,6,11,25,118,11.75,7
40691,0,0.0,89,70,0,0,2,25,1,0,5,1,2,0,7,906,296,31,16729,1,39,22,27,1,8,1,1,0.188,12.67,0.25,12.5,3,2,15,23,59,132.0,16,8.25,9.0,13.0,4.0,13.0,3,12,15,92,8.25,11
40699,0,0.0,89,68,0,0,1,24,0,0,5,0,0,1,8,858,423,92,14772,3,31,40,9,0,0,0,1,0.16699999999999998,15.33,0.111,13.0,3,1,18,22,53,74.0,7,10.57,15.0,20.0,5.0,20.0,6,13,18,88,10.57,4
40716,0,0.0,89,47,0,1,3,53,0,0,7,0,2,0,0,397,200,81,9838,0,39,16,40,1,5,0,1,0.091,17.5,0.182,17.5,2,2,25,26,64,203.0,15,13.53,13.0,18.0,5.0,18.0,6,11,25,89,13.53,7
40738,0,0.0,89,61,0,0,2,28,1,0,2,0,1,0,3,583,223,84,11046,0,43,16,55,1,0,0,1,0.077,30.0,0.0,0.0,1,0,20,19,52,71.0,5,14.2,25.0,30.0,5.0,30.0,6,14,20,81,14.2,4
40748,0,0.0,17,51,0,1,3,52,0,0,2,1,2,0,2,475,213,63,7004,0,17,52,39,0,0,2,1,0.14300000000000002,15.0,0.33299999999999996,15.0,1,1,20,5,15,15.0,1,15.0,0.0,15.0,15.0,15.0,3,9,20,20,15.0,1
40757,0,0.0,29,85,0,0,1,24,1,1,2,0,2,0,9,835,367,82,14354,1,37,49,15,1,0,4,4,0.4,12.5,0.6,11.67,4,3,17,9,23,50.0,4,12.5,10.0,15.0,5.0,15.0,6,13,17,24,12.5,3
40786,1,5.0,101,72,0,3,2,37,0,1,1,0,0,4,0,1163,402,67,19090,0,42,4,84,1,1,5,3,0.16699999999999998,5.67,0.125,5.0,3,1,18,22,59,182.0,16,11.38,15.0,20.0,5.0,5.0,5,13,18,91,11.38,9
40804,0,0.0,41,72,0,3,2,37,1,1,3,0,1,1,8,788,204,91,13596,0,45,7,81,1,0,0,3,0.222,7.5,0.25,7.5,4,2,18,14,35,43.0,7,6.14,8.0,10.0,2.0,5.0,6,13,18,41,6.14,3
40820,0,0.0,101,70,0,3,3,41,0,0,2,1,0,2,2,535,217,90,9783,0,52,25,52,1,1,5,4,0.33299999999999996,8.0,0.545,8.0,6,6,21,25,65,145.0,19,7.63,10.0,15.0,5.0,15.0,6,14,18,93,7.63,12
40824,0,0.0,125,59,0,3,2,37,1,0,5,1,1,0,5,692,198,93,11881,0,47,16,65,1,1,5,2,0.133,11.0,0.125,12.0,2,1,21,26,68,302.08,39,7.75,11.92,12.0,0.08,12.0,4,9,21,119,7.75,16
40826,0,0.0,125,77,0,0,2,29,0,0,2,1,1,3,2,664,248,99,14535,0,52,0,96,1,1,5,4,0.23800000000000002,8.8,0.273,5.67,5,3,16,32,80,248.0,28,8.86,15.0,20.0,5.0,5.0,6,14,16,123,8.86,10
40845,0,0.0,17,59,0,3,2,40,0,0,4,0,1,0,8,883,373,84,14943,0,34,38,26,0,0,2,1,0.2,20.0,0.5,20.0,1,1,17,5,13,20.0,1,20.0,0.0,20.0,20.0,20.0,4,10,17,17,20.0,1
